Pet_type,Perceived_role_of_the_pet,Interaction_frequency,Daily_pet_care_time_minutes, Pet_friendly_environment   ,CCAS_Q1,CCAS_Q2,CCAS_Q3,CCAS_Q4,CCAS_Q5,CCAS_Q6,CCAS_Q7,CCAS_Q8,CCAS_Q9,CCAS_Q10,CCAS_Q11,CCAS_Q12,CCAS_Q13,PSS_Q1,PSS_Q,PSS_Q3,PSS_Q4,PSS_Q5,PSS_Q6,PSS_Q7,PSS_Q8,PSS_Q9,PSS_Q10,Owner_age,Owner_gender ,Owner_living_situation ,Owner_employment_status,Owner_martial_status,Owner_family_income,Western_province
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,4,4,3,4,4,4,3,3,0,0,1,1,0,0,0,0,1,0,25,Female,Living with partner,Employed(part),married,"150,000 -350,000",Yes
Dog,Family member,Weekly,31-60,No,4,3,4,3,3,4,3,4,4,3,4,3,4,1,1,2,0,1,2,1,0,1,1,21,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Friend,Daily,61-120,Yes,3,4,3,3,4,4,3,4,3,3,3,4,4,2,1,0,3,0,1,2,1,1,4,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Monthly,61-120,Yes,3,4,4,3,4,3,4,3,4,3,4,3,4,1,1,2,0,2,0,1,1,1,0,24,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Friend,Weekly,61-120,No,3,4,3,3,3,3,4,3,2,4,3,4,4,1,2,1,1,2,1,2,1,1,2,17,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,121-180,Yes,4,4,3,4,4,3,3,3,3,3,4,4,4,0,2,1,0,3,0,1,1,1,1,18,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Daily,61-120,Yes,3,3,3,4,3,3,4,3,4,3,3,3,3,1,2,1,2,1,0,2,1,2,1,27,Female,Living with partner,Employed(full),married,"350,000 -700,000",Yes
Dog,Family member,Daily,121-180,Yes,2,3,4,4,3,3,4,3,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,24,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Weekly,16-30,Yes,3,4,3,4,3,4,4,3,4,3,4,3,4,1,2,2,2,1,2,0,1,1,2,25,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Friend,Weekly,61-120,No,3,3,3,3,2,3,3,3,3,3,4,3,3,1,2,1,2,1,1,2,1,2,1,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,31-60,Yes,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,0,1,2,1,1,1,2,22,Male,Living with roommate,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Weekly,121-180,Yes,3,3,3,3,4,3,4,3,4,3,4,3,4,1,2,2,2,1,2,1,2,1,2,23,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Daily,61-120,Yes,3,3,3,4,4,3,4,3,4,3,4,3,4,1,2,2,2,1,2,1,2,1,2,25,Female,Living with partner,Student,married,"150,000 -350,000",Yes
Dog,Family member,Monthly,0-15,No,3,2,4,2,3,2,2,3,2,3,2,3,3,1,1,2,1,2,1,2,1,2,1,25,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Daily,31-60,Yes,3,4,3,4,3,4,3,3,4,3,4,3,3,1,2,1,2,1,1,2,1,1,2,26,Male,Living with roommate,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,121-180,Yes,4,4,4,3,3,3,3,4,3,3,3,4,4,0,1,2,2,1,0,0,1,2,1,22,Female,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,4,3,4,3,4,3,4,3,0,0,0,0,0,1,1,1,1,1,18,Female,Living with family,Student,married,"350,000 -700,000",Yes
Dog,Family member,Daily,121-180,Yes,3,3,4,4,3,4,3,4,3,4,3,4,3,0,0,1,1,0,0,1,1,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,3,3,4,4,4,4,4,4,4,4,1,0,1,0,1,0,1,0,1,0,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,3,3,4,4,4,3,3,3,4,1,1,1,0,0,0,0,0,0,1,24,Female,Living with family,"Student, Employed(part)",unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,4,3,4,4,4,4,4,4,0,1,0,1,0,1,0,1,0,1,23,Male,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,3,4,3,4,3,4,4,4,0,1,0,1,2,0,0,0,2,0,21,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,4,3,3,3,3,3,3,3,0,0,1,1,0,0,1,1,0,0,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,4,3,3,4,4,3,3,4,0,1,2,0,1,0,1,0,0,1,20,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,4,3,4,3,4,3,3,3,0,0,1,1,0,0,1,0,0,0,21,Male,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,1,0,1,0,1,0,0,22,Female,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,4,3,3,3,3,3,4,4,4,4,0,0,0,1,0,0,1,0,1,0,23,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,3,4,3,4,4,3,4,3,4,3,0,1,1,0,1,0,0,0,1,0,18,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,4,3,4,3,4,4,4,3,0,0,1,1,0,0,1,1,0,0,24,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Cat,Family member,Daily,>180,Yes,3,3,3,4,4,4,3,3,3,4,4,4,4,0,1,1,1,0,0,0,0,1,0,19,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,>180,Yes,4,4,4,3,3,3,4,4,4,3,3,4,4,0,1,1,0,0,1,1,0,0,0,22,Male,Living Alone,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,4,3,4,3,4,3,4,3,0,0,0,1,0,1,0,1,0,0,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,3,4,3,4,3,4,3,4,0,1,0,1,0,1,0,0,0,1,21,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes
Cat,Friend,Weekly,31-60,No,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,20,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,>180,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"350,000 -700,000",Yes
Cat,Family member,Daily,121-180,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Fish,Friend,Daily,0-15,Yes,3,4,4,3,3,3,3,3,3,2,4,4,3,3,2,2,3,2,2,2,2,3,2,20,Female,Living with family,UnEmployed,unmarried,"Below 50,000",Yes
Bird,Family member,Daily,16-30,No,2,2,2,2,2,3,2,1,1,3,2,2,1,2,3,1,1,2,2,2,0,2,1,48,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes
Dog,Family member,Daily,16-30,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,2,0,2,1,1,20,Female,Living with family,UnEmployed,unmarried,"50,000 -150,000",Yes
Bird,Family member,Daily,31-60,Yes,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,3,2,2,2,4,2,2,2,3,Male,Living with family,Student,unmarried,"Below 50,000",Yes
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,3,4,4,3,4,3,4,4,0,0,0,2,1,1,0,3,2,2,25,Female,Living with family,UnEmployed,married,"Below 50,000",Yes
